day,value
0,10.457075619631647
1,8.440023840639256
2,11.125676793709687
3,11.41084707458682
4,7.073447217019245
5,8.046730739706522
6,10.191760604750929
7,9.525636111484626
8,9.974798263743567
9,8.72043410863963
10,11.319096962294243
11,11.166687903143423
12,10.099046046341824
13,11.690861810452049
14,10.701264013378069
15,8.711061305675143
16,10.553126176123747
17,8.561676098756502
18,11.317675451960909
19,9.925111133520621
20,9.72270645468211
21,8.978605683394088
22,11.833812008011046
23,9.768205776896798
24,9.357508266755339
25,9.471799674267656
26,10.798463778330023
27,10.548166096546117
28,10.619098917393982
29,10.646231504511825
30,13.212471401305692
31,9.390377475423076
32,9.231635906392693
33,8.779340907628184
34,10.923969133863244
35,11.693458439081338
36,9.829078813517688
37,8.739765284556208
38,8.76327817646314
39,10.975889181737053
40,11.114881256805162
41,10.814731402457792
42,9.001735439066959
43,10.34824198460008
44,10.175028713711093
45,10.32803289509352
46,11.307143166922284
47,10.335393323162023
48,11.018370344607842
49,10.101368604233338
50,10.433679098034975
51,10.946932338757811
52,7.8142662702165
53,9.520493175464049
54,9.294441018560807
55,9.041683227634987
56,9.587286623159974
57,12.242411966851595
58,8.701253326460135
59,11.452417531887221
60,7.475695342576293
61,9.497672455021338
62,10.244129597657508
63,10.879333497038917
64,11.066839869689282
65,11.190020852799888
66,9.476912391627344
67,9.30647231100315
68,11.286963821885731
69,9.713043512677578
70,8.086470514993117
71,8.300069178994779
72,8.620821570997583
73,10.745741116080646
74,10.213638604105848
75,11.035728031101652
76,9.3591210304952
77,10.237809536615071
78,10.938385590951006
79,9.535980190419643
80,10.685162856336117
81,9.007111088400023
82,9.455419230152392
83,9.427393159002506
84,8.20624053161644
85,10.730458721178373
86,9.295896489695915
87,10.018741178091531
88,10.721119988358863
89,10.669796764044916
90,10.99807766345918
91,9.852271773235865
92,9.36505253193377
93,9.8804226836404
94,7.4689983490629555
95,7.829331291365369
96,8.015950581468397
97,8.504129758597777
98,10.599661340085156
99,8.641781416959908
100,24.432756168940916
101,26.948842446679098
102,24.46560404340786
103,26.10627335270063
104,23.599573479985185
105,24.691843663198554
106,23.57496691763413
107,24.491450386149157
108,26.260462206186094
109,22.409019365211478
110,25.651635465318787
111,25.35660340349842
112,24.108775066454808
113,22.83091321841732
114,25.108194261570805
115,24.205760936404296
116,25.349014317032054
117,25.032778218285163
118,27.402668336981375
119,24.640966558790463
120,23.464753761067204
121,25.268913452434475
122,25.329995025957647
123,27.038781362860654
124,26.252666868871867
125,25.535306588724264
126,27.194954336829344
127,23.216855418515724
128,24.040372700875377
129,23.610136087891714
130,24.415285295266347
131,22.934970778665537
132,25.952726420221605
133,24.66666595435184
134,22.793790558246013
135,23.47663137818869
136,25.470270771175294
137,26.25718985184157
138,27.99509633753768
139,29.370793699010996
140,25.621614149913995
141,23.515692819952204
142,21.801930578903036
143,25.401567193515753
144,23.78058835703451
145,24.376964109730473
146,24.081854801410287
147,24.788813670375422
148,26.598970346181467
149,25.235572851168016
150,24.76204774444197
151,23.446519370761283
152,22.487975582943463
153,24.270538136390005
154,24.919326173772518
155,27.651894870369823
156,25.19541178220933
157,26.474109266534587
158,24.251056602191273
159,23.22258435037446
160,23.552324856651442
161,23.91216090319637
162,28.192704598652746
163,23.76791998116342
164,26.257733805604516
165,23.64560923286946
166,26.397359519311365
167,25.577426449158796
168,24.765043153512863
169,24.93885621079685
170,24.017818456855913
171,25.669108302223123
172,24.31752477948883
173,23.161591354349127
174,23.08309363852057
175,25.258881876583178
176,27.368636884615654
177,25.23998742036016
178,24.822042510835175
179,25.428739209403815
180,26.959002612560237
181,25.329073752045783
182,24.383609153749394
183,26.659433065089832
184,25.64313465769242
185,27.303633987993987
186,25.274851655832858
187,23.16329645241925
188,22.947761201131502
189,27.476391898346876
190,27.585498581174946
191,24.7307211800761
192,24.42521901829602
193,27.1921664383633
194,23.339431476934767
195,23.65790947156626
196,25.964990192033568
197,24.408092315710615
198,24.992317199919892
199,24.75483565221323
