endpoint,latency_ms,status
/api/health,9.268,200
/api/health,12.332,200
/api/health,10.454,200
/api/products,68.763,200
/api/users,73.447,200
/api/health,11.774,200
/api/health,9.034,200
/api/health,9.141,200
/api/users,72.875,200
/api/users,72.336,200
/api/products,48.567,200
/api/users,74.252,200
/api/orders,240.706,200
/api/products,53.692,200
/api/health,9.575,200
/api/users,60.822,200
/api/products,77.792,200
/api/users,66.904,200
/api/health,11.176,200
/api/products,55.929,200
/api/orders,56.226,200
/api/products,65.357,200
/api/health,8.101,200
/api/search,125.387,200
/api/search,111.047,200
/api/health,9.337,200
/api/users,77.93,200
/api/users,64.41,200
/api/health,10.127,200
/api/products,94.965,200
/api/health,9.599,200
/api/users,98.711,200
/api/products,70.366,200
/api/search,144.487,200
/api/health,9.692,200
/api/users,66.021,200
/api/health,10.974,200
/api/products,66.529,200
/api/users,88.695,200
/api/products,29.526,200
/api/search,129.766,200
/api/orders,72.619,200
/api/products,41.139,200
/api/checkout,216.32,200
/api/search,181.319,200
/api/orders,197.02,200
/api/health,6.889,200
/api/products,46.859,200
/api/products,18.907,200
/api/health,11.357,200
/api/products,83.79,200
/api/search,110.835,200
/api/users,76.187,200
/api/products,70.598,200
/api/health,10.889,200
/api/products,43.126,200
/api/orders,172.048,200
/api/orders,125.098,200
/api/users,86.831,200
/api/users,72.477,200
/api/orders,70.101,200
/api/products,73.335,200
/api/checkout,5374.584,200
/api/search,134.98,200
/api/orders,140.534,200
/api/checkout,5811.003,200
/api/products,70.315,200
/api/products,60.162,200
/api/health,13.438,404
/api/products,71.095,200
/api/users,50.584,200
/api/users,68.893,500
/api/products,57.482,200
/api/products,48.389,200
/api/search,95.285,200
/api/products,75.905,200
/api/users,86.56,200
/api/health,5.97,200
/api/health,10.235,200
/api/checkout,112.047,200
/api/users,59.189,200
/api/products,62.558,200
/api/products,41.118,200
/api/search,139.661,200
/api/health,11.448,200
/api/health,15.677,200
/api/products,59.588,200
/api/products,84.64,200
/api/products,61.755,200
/api/health,5.07,200
/api/products,73.791,200
/api/users,84.046,200
/api/checkout,5208.205,200
/api/search,139.845,200
/api/search,110.447,200
/api/products,64.022,200
/api/orders,99.504,200
/api/products,52.693,200
/api/products,64.309,500
/api/health,17.343,200
/api/search,99.846,200
/api/users,101.369,200
/api/users,54.441,200
/api/products,50.849,200
/api/orders,95.08,200
/api/search,187.367,200
/api/products,60.777,200
/api/checkout,121.06,200
/api/orders,135.381,200
/api/products,86.651,200
/api/products,52.295,200
/api/search,60.426,200
/api/users,90.484,200
/api/health,6.363,200
/api/search,117.337,500
/api/products,66.029,200
/api/search,128.605,200
/api/users,88.575,200
/api/users,75.094,200
/api/orders,163.135,200
/api/users,87.238,200
/api/products,86.734,200
/api/checkout,230.503,200
/api/products,50.789,200
/api/users,96.56,200
/api/orders,148.297,200
/api/products,67.516,200
/api/users,82.334,200
/api/health,9.798,200
/api/orders,191.151,200
/api/users,138.277,200
/api/products,57.457,404
/api/health,6.748,200
/api/health,10.067,200
/api/health,13.394,200
/api/health,15.886,200
/api/health,7.042,200
/api/users,74.302,200
/api/health,8.59,200
/api/orders,128.467,200
/api/search,105.853,200
/api/search,154.997,200
/api/checkout,187.929,200
/api/health,3.628,200
/api/products,42.167,200
/api/health,14.458,200
/api/orders,140.903,200
/api/health,9.06,200
/api/health,6.361,200
/api/health,12.29,200
/api/search,86.722,200
/api/health,10.965,200
/api/checkout,224.215,200
/api/users,131.953,200
/api/products,61.78,200
/api/users,50.857,200
/api/users,62.463,200
/api/health,11.662,200
/api/users,92.626,200
/api/health,10.037,200
/api/users,91.724,200
/api/search,75.917,200
/api/users,57.859,200
/api/users,87.668,200
/api/health,10.543,200
/api/products,52.616,200
/api/products,49.17,200
/api/users,69.411,200
/api/checkout,194.227,200
/api/users,59.53,200
/api/health,5.475,200
/api/users,116.413,200
/api/products,69.217,200
/api/users,44.866,200
/api/users,54.486,200
/api/products,58.3,200
/api/orders,79.607,500
/api/products,57.879,200
/api/checkout,7267.28,200
/api/users,65.569,200
/api/users,77.627,200
/api/health,9.847,200
/api/products,61.052,200
/api/search,122.382,200
/api/products,50.052,200
/api/users,83.051,500
/api/products,50.688,200
/api/search,99.925,200
/api/health,11.113,200
/api/health,11.513,200
/api/products,80.585,500
/api/search,64.339,200
/api/users,63.087,200
/api/orders,229.901,200
/api/health,8.198,200
/api/health,15.29,200
/api/health,9.286,200
/api/products,75.13,200
/api/health,11.961,200
/api/orders,155.145,200
/api/users,76.91,200
/api/health,12.103,200
/api/products,52.164,200
/api/health,7.062,200
/api/users,50.356,200
/api/users,68.178,200
/api/checkout,173.259,200
/api/products,71.293,200
/api/orders,190.997,200
/api/checkout,147.157,200
/api/users,103.425,200
/api/search,153.104,200
/api/users,71.455,200
/api/health,10.092,200
/api/products,40.808,200
/api/products,50.955,200
/api/users,63.741,200
/api/users,92.879,200
/api/users,77.378,200
/api/users,84.374,200
/api/search,126.371,200
/api/health,7.441,200
/api/checkout,75.066,200
/api/search,156.076,200
/api/search,79.7,200
/api/health,7.946,200
/api/health,9.868,200
/api/products,59.983,200
/api/users,46.506,200
/api/search,124.383,200
/api/health,9.438,200
/api/products,68.329,200
/api/health,8.402,200
/api/products,39.359,200
/api/orders,126.92,200
/api/search,65.918,500
/api/users,86.094,200
/api/health,11.104,200
/api/health,10.267,200
/api/health,8.366,200
/api/orders,161.877,200
/api/products,36.783,200
/api/products,74.938,200
/api/health,9.811,200
/api/orders,131.945,200
/api/orders,154.583,200
/api/health,13.611,200
/api/products,51.993,200
/api/products,56.771,200
/api/health,9.8,200
/api/users,53.472,200
/api/users,69.755,200
/api/products,61.344,200
/api/health,6.824,200
/api/users,89.35,200
/api/users,78.406,200
